"100012";"Jednotlivý strom";"U Jedle";"24.08.1982";"ze zákona";"V lesním porostu polesí Bělá, v průseku u tzv. "tankové cesty" nad samotou V Mlýnkách";"{X:1053763,27, Y:549590,26} ";"Olomoucký"
"100014";"Jednotlivý strom";"Frývaldovská lípa";"24.08.1982";"ze zákona";"V centru obce, u památníku frývaldovské stávky";"{X:1050464,00, Y:547259,00} ";"Olomoucký"
"100016";"Jednotlivý strom";"Čarovný smrk";"20.07.1999";"vyhlášené";"V horní části svažité louky cca 250 m severně od sanatoria Priessnitz v Jeseníku Lázních, v polovině koruny vyrůstá kmínek čarověníku";"{X:1049275,00, Y:544272,00} ";"Olomoucký"
"100017";"Jednotlivý strom";"Tis u vodárny";"05.09.1998";"vyhlášené";"Na kraji lipové javořiny v kopci nad obcí nedaleko vodárny";"{X:1044209,00, Y:540325,00} ";"Olomoucký"
"100018";"Jednotlivý strom";"Lípa - Seč";"24.08.1982";"ze zákona";"U silnice Jeseník-Detřichov-Seč";"{X:1052715,71, Y:541893,65} ";"Olomoucký"
"100019";"Jednotlivý strom";"Jasan nad kostelem";"24.08.1982";"ze zákona";"cca 50 m nad pravým břehem Staříče, u zeleně značené turistické cesty odbočující nad kostelem k rekreačnímu areálu na Miroslavi";"{X:1050716,03, Y:548808,84} ";"Olomoucký"
"100020";"Jednotlivý strom";"Maďal na zahradě u Mejsnarů (pod Točem)";"24.08.1982";"ze zákona";"V oplocené zahradě u rodinného domu čp. 622, cca 30 m od pravého břehu Staříče, nedaleko silnice odbočující k rekreačnímu areálu na Miroslavi";"{X:1050597,40, Y:549497,75} ";"Olomoucký"
"100021";"Skupina stromů";"Lípa na Bobrovníku";"24.08.1982";"ze zákona";"Severní okraj osady Bobrovník, u rekreačního domu čp. 2, vpravo u stodoly";"{X:1051305,04, Y:546281,30} ";"Olomoucký"
"100022";"Jednotlivý strom";"Jasan v Dětřichově";"24.08.1982";"ze zákona";"V zahradě u lesní správy, u silnice Jeseník-Rejvíz";"{X:1052823,76, Y:542126,54} ";"Olomoucký"
"100023";"Jednotlivý strom";"Torzo lípy v Ostružné";"24.08.1982";"ze zákona";"V jižní části obce mimo obytnou zástavbu, u Černého potoka, okraj louky pod lesem";"{X:1055725,00, Y:555060,00} ";"Olomoucký"
"100024";"Skupina stromů";"Javory u mateřské školy";"24.08.1982";"ze zákona";"Na okraji zástavby v Adolfovicích, v zahradě polesí Bělá";"{X:1054166,83, Y:544667,03} {X:1054169,36, Y:544662,91} ";"Olomoucký"
"100025";"Jednotlivý strom";"Jasan u Šalenů v Adolfovicích (u Jesanu)";"24.08.1982";"ze zákona";"U čp. 147 při místní komunikaci od závodu JESAN";"{X:1054035,50, Y:544362,76} ";"Olomoucký"
"100026";"Jednotlivý strom";"Tis v Mikulovicích";"24.08.1982";"ze zákona";"na zahradě u čp. 5 v obci v sousedství kostela, napravo od silnice k hraničnímu přechodu s Polskem";"{X:1044128,97, Y:534465,07} ";"Olomoucký"
"100027";"Jednotlivý strom";"Tis v Bílé Vodě";"24.08.1982";"ze zákona";"v lesním porostu bývalého zámeckého parku za protialkoholní léčebnou";"{X:1025239,00, Y:563414,00} ";"Olomoucký"
"100028";"Jednotlivý strom";"Lípa na Mizerichu";"16.03.1973";"ze zákona";"cca 50 m od kaple Na Mizerichu po levé straně silnice směrem na Krnov, blízko samoobsluhy";"{X:1049530,00, Y:529388,00} ";"Olomoucký"
"100029";"Jednotlivý strom";"Dub u rybníka";"24.08.1982";"ze zákona";"u lesní turistické cesty mezi Černou Vodou a Kobylou, poblíž mostu přes Plavný potok, na břehu rybníka na okraji lesního porostu";"{X:1039891,00, Y:546255,00} ";"Olomoucký"
"100030";"Jednotlivý strom";"Valuškův tis";"24.08.1982";"ze zákona";"na dvoře u domu č. 2 poblíž železniční stanice Javorník";"{X:1031095,00, Y:555261,00} ";"Olomoucký"
"100031";"Jednotlivý strom";"Dub u Račího potoka";"24.08.1982";"ze zákona";"v polích cca 1 km severovýchodně od silnice vedoucí osadou Horní Fořt, na levém břehu Račího potoka";"{X:1032663,00, Y:554737,00} ";"Olomoucký"
"100032";"Jednotlivý strom";"Ondrova lípa II";"25.03.2004";"vyhlášené";"V obci u čp. 148";"{X:1175185,07, Y:491513,25} ";"Zlínský"
"100033";"Skupina stromů";"Helštýnské lípy";"06.01.2004";"vyhlášené";"U pomníku na vrcholu kopce Helštýn, severovýchodně od města na vrcholu Helštýna";"{X:, Y:} ";"Zlínský"
"100041";"Jednotlivý strom";"Peškova lípa";"17.07.2002";"vyhlášené";"V zahradě u vjezdu do usedlosti čp. 89";"{X:1165763,72, Y:501312,98} ";"Zlínský"
"100042";"Skupina stromů";"Kachtíkovy lípy";"08.10.1999";"vyhlášené";"Ve dvoře památkově chráněné usedlosti Hajnušov";"{X:1152043,00, Y:505151,00} {X:1152035,00, Y:505139,00} ";"Zlínský"
"100044";"Skupina stromů";"Lípy u Sládků";"25.07.1999";"vyhlášené";"Na rozhraní polní cesty a louky v lokalitě Semetín "Sládci"";"{X:1154506,00, Y:499200,00} {X:1154537,00, Y:499202,00} ";"Zlínský"
"100045";"Jednotlivý strom";"Lípa u solaneckého fojtství 2";"21.03.2001";"vyhlášené";"Na travnatém pozemku mezi dvěma zpevněnými příjezdovými cestami cca 45 m od bývalého fojtství";"{X:1146894,93, Y:478886,94} ";"Zlínský"
"100046";"Skupina stromů";"Lípy u kostela ve Zděchově";"28.03.1995";"vyhlášené";"V obci před vstupem do kostela";"{X:1163879,60, Y:490984,73} {X:1163888,65, Y:490983,67} ";"Zlínský"
"100047";"Jednotlivý strom";"Pivodův tis v Brňově";"29.12.1999";"vyhlášené";"Na jižním okraji obce, vysadil původní majitel pozemku p. Pivoda";"{X:, Y:} ";"Zlínský"
"100048";"Jednotlivý strom";"Dub v Brankách";"20.12.1999";"vyhlášené";"Východně od cesty na Dolní dvůr, v lokalitě "Dolní lůky", na břehu potoka Loučky ";"{X:1140614,64, Y:500207,03} ";"Zlínský"
"100049";"Jednotlivý strom";"Dub v Kunovicích";"15.12.1999";"vyhlášené";"V areálu nádražní stanice Kunovice-Loučka";"{X:1142382,46, Y:507868,61} ";"Zlínský"
"100050";"Jednotlivý strom";"Lípa ve Valašském Meziříčí";"13.12.1999";"vyhlášené";"V ulici Vsetínské, nad náměstím";"{X:1140058,60, Y:496471,18} ";"Zlínský"
"100051";"Jednotlivý strom";"Dub v Brankách";"11.10.1999";"vyhlášené";"V areálu nádraží";"{X:1140874,29, Y:501330,01} ";"Zlínský"
"100052";"Jednotlivý strom";"Buk lesní v Lešné";"06.10.1999";"vyhlášené";"U kostela ve svahu";"{X:1134421,44, Y:498950,77} ";"Zlínský"
"100053";"Jednotlivý strom";"Dub v Jasenici";"04.10.1999";"vyhlášené";"Na jižním okraji obce u čp. 32";"{X:1134651,01, Y:496449,85} ";"Zlínský"
"100054";"Jednotlivý strom";"Dub ČSOP";"19.02.1999";"vyhlášené";"Na okraji lesního porostu, na mírném jižním svahu v lokalitě "U Matošků"";"{X:1151749,86, Y:494823,29} ";"Zlínský"
"100055";"Jednotlivý strom";"Turpišův dub";"07.11.1998";"vyhlášené";"Na severní straně silnice Vsetín-Jablůňka, před benzinovou stanicí Bobrky";"{X:1151900,86, Y:497786,99} ";"Zlínský"
"100057";"Jednotlivý strom";"Žídkův buk";"27.05.1998";"vyhlášené";"Na louce za obcí Lužná v lokalitě "Vráblovy paseky"";"{X:1167146,71, Y:496203,22} ";"Zlínský"
"100058";"Jednotlivý strom";"Babyka za humny v Rokytnici";"23.10.1996";"vyhlášené";"Na severovýchodním okraji obce, na rozhraní polní cesty a louky, lokalita Bečevná";"{X:1155567,19, Y:496384,11} ";"Zlínský"
"100059";"Jednotlivý strom";"Kobzova lípa";"11.04.1972";"ze zákona";"V obci u usedlostí čp. 67, 76, 77 na kopci";"{X:1170179,02, Y:488116,86} ";"Zlínský"
"100060";"Jednotlivý strom";"Lípa srdčitá u pomníku popravených partyzánů";"11.04.1972";"ze zákona";"u pomníku";"{X:1141577,02, Y:487860,41} ";"Zlínský"
"100061";"Jednotlivý strom";"Liptálský tis";"11.04.1972";"ze zákona";"V lesním porostu 605 D3, naproti nemovitosti u Porubů, v údolí V Hlubokém, mezi k.ú. Lhota a Liptál";"{X:1156460,04, Y:501679,93} ";"Zlínský"
"100062";"Jednotlivý strom";"Tis červený";"11.04.1972";"ze zákona";"V obci u hlavní křižovatky, v zahradě u čp. 161, poblíž kaple";"{X:1140888,79, Y:494505,89} ";"Zlínský"
"100063";"Jednotlivý strom";"Lačnovská babyka";"11.04.1972";"ze zákona";"Na konci sadu východně od obce, vpravo od silnice Horní Lideč-Lačnov";"{X:1172624,41, Y:495732,58} ";"Zlínský"
"100064";"Jednotlivý strom";"Lípa v Lázech";"11.04.1972";"ze zákona";"V centru obce u hlavní silnice na rozhraní dvou pozemků u čp. 32 a 2";"{X:1145179,70, Y:504392,64} ";"Zlínský"
"100065";"Jednotlivý strom";"Koláčkův tis";"11.04.1972";"ze zákona";"V obci u čp. 181";"{X:1139505,98, Y:487909,64} ";"Zlínský"
"100066";"Jednotlivý strom";"Študlovská lípa";"11.04.1972";"ze zákona";"V obci při hlavní silnici naproti čp. 30";"{X:1175188,16, Y:491436,28} ";"Zlínský"
"100067";"Jednotlivý strom";"Horákův dub";"11.04.1972";"ze zákona";"Na okraji pole u potoka jižně od točny MHD";"{X:1140907,54, Y:499065,84} ";"Zlínský"
"100068";"Jednotlivý strom";"Dub na Jehličné";"11.04.1972";"ze zákona";"U restaurace Jehličná pod lesem";"{X:1137491,43, Y:493708,58} ";"Zlínský"
"100070";"Jednotlivý strom";"Hornolidečský dub";"11.04.1972";"ze zákona";"v obci";"{X:1173145,34, Y:492795,39} ";"Zlínský"
"100071";"Skupina stromů";"Lípy v Hrachovci";"11.04.1972";"ze zákona";"na západním okraji obce při výjezdu na Valašské Meziříčí mezi lipami je křížek";"{X:, Y:} ";"Zlínský"
"100072";"Jednotlivý strom";"Liliovník u staré školy";"31.03.2005";"vyhlášené";"V předzahrádce u školní družiny v centru obce";"{X:1088779,00, Y:556128,00} ";"Olomoucký"
"100073";"Jednotlivý strom";"Verebelyho dub";"05.09.2004";"ze zákona";"Za obcí pod Malínským vrchem";"{X:1080894,77, Y:557334,92} ";"Olomoucký"
"100074";"Jednotlivý strom";"Kaštanovník v Zábřehu";"20.01.2005";"vyhlášené";"Vlevo nad výpadovkou na Rovensko, na ulici Březinova, asi 200 m severně od křižovatky na Václavov";"{X:1086455,00, Y:570841,00} ";"Olomoucký"
"100076";"Jednotlivý strom";"Valíčkova lípa";"24.08.1982";"ze zákona";"u domu při silnici Vikantice  Branná";"{X:1059416,00, Y:559211,00} ";"Olomoucký"
"100077";"Skupina stromů";"Duby v Gryngleti";"24.08.1982";"ze zákona";"v parku za ZD poblíž bývalého kravína";"{X:1080907,00, Y:565622,00} {X:1080874,00, Y:565898,00} ";"Olomoucký"
"100079";"Jednotlivý strom";"Zámecká lípa";"24.08.1982";"ze zákona";"V zámeckém parku poblíž hlavního vchodu";"{X:1067676,00, Y:553342,00} ";"Olomoucký"
"100080";"Skupina stromů";"Památné stromy v zámeckém parku";"24.08.1982";"ze zákona";"V zámeckém parku, obvod kmenů od 406 cm do 572 cm";"{X:, Y:} ";"Olomoucký"
"100082";"Jednotlivý strom";"Lípa v Rudolticích";"03.10.2002";"ze zákona";"V obci u hlavní silnice";"{X:1076912,96, Y:552747,26} ";"Olomoucký"
"100083";"Stromořadí";"Památná alej k hrobce Loučenské větve rodiny Kleinů";"06.12.2002";"ze zákona";"Od zámku k hrobce ";"{X:, Y:} ";"Olomoucký"
"100084";"Jednotlivý strom";"Liliovník u Barborky";"08.09.2000";"vyhlášené";"V zahradě u čp. 7 v Terezínské ulici";"{X:1078212,00, Y:562661,00} ";"Olomoucký"
"100085";"Jednotlivý strom";"Lípa u Ztraceného potoka";"22.09.1999";"ze zákona";"Mezi cestou a rybníkem";"{X:1072116,75, Y:550408,36} ";"Olomoucký"
"100086";"Jednotlivý strom";"Mladoňovská lípa";"23.05.2000";"vyhlášené";"U čp. 85 blízko silnice z Nového Malína před příjezdem do obce";"{X:1083740,00, Y:555379,00} ";"Olomoucký"
"100089";"Skupina stromů";"Lípy ve Vysokém Potoce";"24.08.1982";"ze zákona";"u domu čp. 26 poblíž silnice do Malé Moravy";"{X:1065027,00, Y:571050,00} {X:1064997,00, Y:571084,00} ";"Olomoucký"
"100090";"Skupina stromů";"Lípy u křížku v Hajmrlově";"24.08.1982";"ze zákona";"parčík u křížku, místní část Hajmrlov";"{X:1056348,00, Y:561168,00} {X:1056352,00, Y:516181,00} ";"Olomoucký"
"100091";"Skupina stromů";"Lípy na Cibulce";"07.12.1984";"ze zákona";"u křížku v polích, 300 m ZSZ od kóty 723, bývalá osada Cibulka";"{X:1059106,00, Y:566507,00} {X:1059102,00, Y:566506,00} ";"Olomoucký"
"100093";"Skupina stromů";"Lípy u kapličky";"07.12.1984";"ze zákona";"u křížku";"{X:1056900,00, Y:559728,00} {X:1056901,00, Y:559720,00} ";"Olomoucký"
"100095";"Skupina stromů";"Lípy v Křivé Vodě";"24.08.1982";"ze zákona";"Jižně od kravína";"{X:1065394,00, Y:568512,00} {X:1065408,00, Y:568527,00} ";"Olomoucký"
"100096";"Jednotlivý strom";"Lípa u kapličky v Třeštině";"25.10.1995";"vyhlášené";"Na křižovatce silnic Třeština-Police-Dubicko";"{X:, Y:} ";"Olomoucký"
"100097";"Skupina stromů";"Lípy v Kronfelzově";"24.08.1982";"ze zákona";"u křížku před osadou Kronfelzov u křížku";"{X:1055314,00, Y:558436,00} {X:1055322,00, Y:558444,00} {X:1055326,00, Y:558451,00} ";"Olomoucký"
"100098";"Jednotlivý strom";"Lípa u zboru";"24.08.1982";"ze zákona";"S od kóty 585";"{X:1064505,00, Y:569418,00} ";"Olomoucký"
"100099";"Jednotlivý strom";"Lípa u Balcárků";"24.08.1982";"ze zákona";"Na pravé straně silnice Zábřeh-Olšany za můstkem";"{X:1078917,00, Y:570703,00} ";"Olomoucký"
"100100";"Jednotlivý strom";"Lípa u kapličky Sv. Linharta";"24.08.1982";"ze zákona";"Na okraji obce u kapličky v poli u staré cesty na Štíty";"{X:, Y:} ";"Olomoucký"
"100101";"Jednotlivý strom";"Dub za Minářovým";"24.08.1982";"ze zákona";"V poli za usedlostí severně od kóty 497";"{X:, Y:} ";"Olomoucký"
"100102";"Jednotlivý strom";"Vachutkův dub";"05.09.1994";"vyhlášené";"Za obcí na mezi za fotbalovým hřištěm";"{X:1093523,00, Y:564312,00} ";"Olomoucký"
"100103";"Jednotlivý strom";"Smrk na Josefově";"24.08.1982";"ze zákona";"Pod hájenkou v Josefově";"{X:1058732,77, Y:554255,64} ";"Olomoucký"
"100104";"Jednotlivý strom";"Lípa v Nových Losinách";"22.01.1982";"ze zákona";"V blízkosti staré hasičské zbrojnice";"{X:1062004,61, Y:557211,50} ";"Olomoucký"
"100105";"Jednotlivý strom";"Lípa v Předním Alojsově";"22.01.1982";"ze zákona";"Na severním okraji osady Přední Aloisov proti rekreační chalupě";"{X:1058189,30, Y:557294,51} ";"Olomoucký"
"100106";"Jednotlivý strom";"Lípa v Potůčníku";"24.08.1982";"ze zákona";"Hanušovice - Potučník, u st. silnice Hanušovice - Jindřichov, u továrny Moravolen u tírny";"{X:1065771,00, Y:562717,00} ";"Olomoucký"
"100109";"Jednotlivý strom";"Habartická lípa";"24.08.1982";"ze zákona";"poblíž školy";"{X:1062335,00, Y:562936,00} ";"Olomoucký"
"100110";"Jednotlivý strom";"Nevoralova lípa";"07.12.1984";"ze zákona";"V sousedství obytného domu čp. 14 a zimní zahrady na prudkém svahu nad starou suchou zídkou";"{X:1058958,00, Y:563867,00} ";"Olomoucký"
"100112";"Jednotlivý strom";"Fetkova lípa";"24.08.1982";"ze zákona";"V obci před domem čp. 22";"{X:1071683,00, Y:567629,00} ";"Olomoucký"
"100114";"Jednotlivý strom";"Bludovská lípa (zámecká)";"24.08.1982";"ze zákona";"Před zámkem na křižovatce místních komunikací";"{X:1080721,00, Y:566388,00} ";"Olomoucký"
"100115";"Jednotlivý strom";"Lípa ve Žlebu";"07.12.1984";"ze zákona";"U křížku v polích poblíž zbořeniště";"{X:1061799,00, Y:565866,00} ";"Olomoucký"
"100116";"Jednotlivý strom";"Kubíčkova lípa";"07.12.1984";"ze zákona";"V centru obce na soukromém pozemku u čp. 22 nad požární nádrží";"{X:1079674,00, Y:572913,00} ";"Olomoucký"
"100117";"Jednotlivý strom";"Dub v Zábřehu";"07.12.1984";"ze zákona";"U silnice Zábřeh-Růžové údolí, na kmeni obrázek";"{X:1086074,00, Y:572726,00} ";"Olomoucký"
"100118";"Jednotlivý strom";"Štefkova lípa ve Vysokých Žibřidovicích";"07.12.1984";"ze zákona";"v areálu statku";"{X:1060786,00, Y:564621,00} ";"Olomoucký"
"100119";"Jednotlivý strom";"Lípa ve statku";"07.12.1984";"ze zákona";"v areálu statku";"{X:1060746,00, Y:564586,00} ";"Olomoucký"
"100120";"Jednotlivý strom";"Lípa u polesí u Mizerů";"24.08.1982";"ze zákona";"U bývalého polesí";"{X:1062552,00, Y:568597,00} ";"Olomoucký"
"100121";"Jednotlivý strom";"Slimáčkova lípa";"24.08.1982";"ze zákona";"U rekreační chaty čp. 96 ";"{X:1059814,00, Y:560179,00} ";"Olomoucký"
"100122";"Jednotlivý strom";"Lípa u Olšanky";"24.08.1982";"ze zákona";"Na levém břehu potoka u rekreační chaty Olšanka";"{X:1052910,00, Y:558817,00} ";"Olomoucký"
"100123";"Jednotlivý strom";"Popravčí dub";"24.08.1982";"ze zákona";"Na louce proti zámku za silnicí, z 24. na 25.2.2007 při silném větru zlomen kmen";"{X:1072406,00, Y:557816,00} ";"Olomoucký"
"100124";"Jednotlivý strom";"Dub na návsi (císařský)";"02.11.1994";"vyhlášené";"Na návsi u pomníku";"{X:1100099,00, Y:570119,00} ";"Olomoucký"
"100126";"Skupina stromů";"Lípy u Božích muk";"30.11.1995";"ze zákona";"Poblíž obce u silnice u božích muk";"{X:, Y:} ";"Olomoucký"
"100127";"Jednotlivý strom";"Lípa u Kuběnků";"24.08.1982";"ze zákona";"v centru města poblíž kostela, u čp. 158";"{X:1056565,00, Y:562523,00} ";"Olomoucký"
"100128";"Jednotlivý strom";"Lípa v Pustých Žibřidovicích";"24.08.1982";"ze zákona";"U domu čp. 121, údajně v roce 1953 ohořel při požáru";"{X:1065028,00, Y:560341,00} ";"Olomoucký"
"100129";"Jednotlivý strom";"Lípa u kaple sv. Prokopa";"07.12.1984";"ze zákona";"U kapličky sv. Prokopa na pravé straně u silnice na Chromec";"{X:1083692,00, Y:567984,00} ";"Olomoucký"
"100130";"Jednotlivý strom";"Topol v kopci";"07.12.1984";"ze zákona";"Poblíž pravého břehu Postřelmovského potoka, uvnitř zástavby";"{X:1084098,00, Y:568292,00} ";"Olomoucký"
"100131";"Jednotlivý strom";"Lípa u kostela";"07.12.1984";"ze zákona";"na hřbitově u kostela";"{X:1084413,00, Y:568011,00} ";"Olomoucký"
"100132";"Jednotlivý strom";"Lípa u kostela";"24.08.1982";"ze zákona";"u kostela u vchodu na hřbitov";"{X:1065528,00, Y:569756,00} ";"Olomoucký"
"100133";"Jednotlivý strom";"Lípa v Podlesí";"24.08.1982";"ze zákona";"Na okraji obce za hřištěm do kopce severně od kravína";"{X:1065180,00, Y:569774,00} ";"Olomoucký"
"100134";"Jednotlivý strom";"Koukalova lípa v Pavlově";"04.03.1995";"vyhlášené";"Na návsi u kostela";"{X:1102275,00, Y:572124,00} ";"Olomoucký"
"100135";"Jednotlivý strom";"Ondrův tis";"14.03.1968";"vyhlášené";"Na svah nad potokem nalevo 15 m od silnice ve směru od Hranic, před domem čp. 59";"{X:1118772,00, Y:511046,00} ";"Olomoucký"
"100136";"Jednotlivý strom";"Tis u Bláhů";"14.03.1968";"vyhlášené";"Na pravé straně údolí, cca 1 km nad budovou OÚ Jindřichov, cca 80 m od silnice";"{X:1118317,00, Y:510991,00} ";"Olomoucký"
"100137";"Jednotlivý strom";"Uhřínovský tis";"14.03.1968";"ze zákona";"V zahradě za domem čp. 21, ve středu místní části Uhřínov, snad regenerované torzo starého tisu";"{X:1125108,00, Y:518665,00} ";"Olomoucký"
"100138";"Jednotlivý strom";"Gallašova lípa";"14.03.1968";"vyhlášené";"Uprostřed Gallašovy ulice v Hranicích, v travnatém pruhu mezi komunikací a korytem Veličky, u čp. 13, vysazena na paměť lékaře a spisovatele Josefa H.A. Galaše";"{X:1129382,00, Y:512874,00} ";"Olomoucký"
"100139";"Jednotlivý strom";"Všechovický tis";"14.03.1968";"ze zákona";"Na svahu mezi místní komunikací, kotelnou a obecním úřadem";"{X:1139723,00, Y:511942,00} ";"Olomoucký"
"100141";"Jednotlivý strom";"Jírovec na Helfštýně";"30.08.2002";"vyhlášené";"Na druhém nádvoří hradu Helfštýn";"{X:1132529,00, Y:523867,00} ";"Olomoucký"
"100142";"Jednotlivý strom";"Robotní lípa";"07.05.2001";"ze zákona";"U zámku poblíž silnice";"{X:1136681,00, Y:511264,00} ";"Olomoucký"
"100143";"Jednotlivý strom";"Lípa Jana Jiskry z Brandýsa";"19.10.2000";"ze zákona";"V západní části obce, na hraně svahu nad silnicí";"{X:1138662,00, Y:510572,00} ";"Olomoucký"
"100144";"Jednotlivý strom";"Moštěnický jinan";"10.12.1998";"vyhlášené";"V parku za zámečkem v centru obce";"{X:1143064,00, Y:533579,00} ";"Olomoucký"
"100145";"Jednotlivý strom";"Sušická lípa";"09.07.1996";"vyhlášené";"V sadu na pravém břehu Libušky cca 1,5 km severozápadně od Sušice";"{X:1134521,00, Y:528821,00} ";"Olomoucký"
"100146";"Jednotlivý strom";"Lípa malolistá";"09.07.1996";"vyhlášené";"V obci vedle hasičské zbrojnice";"{X:1131676,00, Y:534973,00} ";"Olomoucký"
"100147";"Jednotlivý strom";"Lípa v Bezuchově";"04.07.1997";"ze zákona";"Na travnatém svahu v centru obce u odbočky k místnímu úřadu";"{X:1138460,00, Y:522683,00} ";"Olomoucký"
"100148";"Jednotlivý strom";"Dub v Oprostovicích";"05.07.1997";"ze zákona";"V zahradě na severovýchodním okraji obce";"{X:1137584,00, Y:521724,00} ";"Olomoucký"
"100149";"Jednotlivý strom";"Lípa malolistá";"04.07.1997";"ze zákona";"U domu čp. 5 asi 100 m západně od kostela, vysazena v r. 1919 jako Lípa Svobody";"{X:1132394,00, Y:531717,00} ";"Olomoucký"
"100150";"Jednotlivý strom";"Lípa v Hlinsku";"14.03.1997";"ze zákona";"V zahradě domu čp. 1, poblíž místní komunikace";"{X:1134593,00, Y:524563,00} ";"Olomoucký"
"100152";"Jednotlivý strom";"Jasan ztepilý";"09.07.1996";"vyhlášené";"Na veřejném prostranství u pěšího vyústění Šrobárovy ulice na tř. 17. listopadu v Přerově";"{X:1138480,00, Y:534005,00} ";"Olomoucký"
"100153";"Jednotlivý strom";"Lípa u Floriana";"17.03.1997";"ze zákona";"V obci u barokní sochy sv. Floriana z r. 1760 ";"{X:1130314,00, Y:529697,00} ";"Olomoucký"
"100154";"Jednotlivý strom";"Wawerkův dub";"17.03.1997";"ze zákona";"V ulici Pod Hůrou, poblíž obytného domu čp. 513";"{X:1133458,00, Y:523089,00} ";"Olomoucký"
"100155";"Jednotlivý strom";"Lípa malolistá";"14.03.1997";"ze zákona";"V hájku nad obcí v sousedství výletiště";"{X:1140498,00, Y:519197,00} ";"Olomoucký"
"100156";"Jednotlivý strom";"Hrušeň Šidlo";"06.06.1996";"ze zákona";"V zahradě u čp. 33";"{X:1133480,00, Y:525092,00} ";"Olomoucký"
"100157";"Jednotlivý strom";"Lípa v Radslavicích";"18.08.1995";"ze zákona";"Na oploceném pozemku u památníku padlých v obci";"{X:1136186,00, Y:529165,00} ";"Olomoucký"
"100158";"Jednotlivý strom";"Stojanova lípa";"18.08.1995";"ze zákona";"U kostela před křížem cca 3 m od silnice z Beňova do obce Prusy";"{X:1142879,00, Y:531107,00} ";"Olomoucký"
"100161";"Jednotlivý strom";"Porubská metasekvoje";"27.12.1999";"vyhlášené";"Na okraji parkově upravené plochy na Nerudově náměstí v Porubě";"{X:1101596,53, Y:479004,75} ";"Moravskoslezský"
"100162";"Jednotlivý strom";"Starobělský dub";"19.02.1999";"vyhlášené";"Ve svahu v těsné blízkosti ulice Povětronní, u nefunkčního vodárenského objektu, na konci švestkové aleje";"{X:1109477,12, Y:475615,89} ";"Moravskoslezský"
"100163";"Jednotlivý strom";"Jinan u zámečku na ul. Frýdecké";"03.02.1998";"vyhlášené";"V lokalitě původních sadovnických úprav u zámečku v Ostravě-Kunčicích, v blízkosti neužívané budovy";"{X:1105963,37, Y:470573,55} ";"Moravskoslezský"
